score,group
96.3,validation
83.9,validation
94.5,validation
90.9,validation
74.4,testing
71.7,training
96.1,validation
74.3,training
56.3,training
92.3,validation
94.9,training
95.1,training
94.7,validation
90.1,testing
61.1,training
95.8,testing
77.0,training
61.1,training
28.4,validation
62.4,training
56.7,training
79.1,training
95.2,training
4.0,testing
8.0,training
2.6,validation
44.2,validation
50.8,testing
61.8,training
76.1,training
88.0,training
97.0,training
65.3,validation
83.4,testing
82.2,validation
83.0,training
80.5,validation
28.9,validation
90.5,training
68.7,validation
37.3,testing
49.3,validation
97.5,testing
88.0,training
75.8,training
30.7,validation
56.9,training
25.9,training
93.1,training
96.9,training
66.9,training
44.7,validation
86.4,training
83.3,validation
76.9,training
60.8,training
71.7,training
43.0,training
67.7,training
16.3,training
63.8,training
9.5,training
89.2,validation
74.9,validation
16.2,training
77.7,testing
75.5,training
90.2,testing
70.1,validation
9.3,training
87.7,testing
21.2,validation
94.3,validation
96.6,validation
80.4,validation
96.6,validation
88.5,validation
63.7,testing
96.1,training
70.6,training
71.0,testing
76.4,training
78.6,validation
73.0,training
2.6,training
70.6,training
43.1,training
68.0,training
79.4,testing
75.1,testing
94.5,training
76.7,training
94.6,training
94.0,validation
72.0,testing
73.4,testing
56.5,validation
95.1,validation
69.4,training
90.4,training
74.6,testing
71.3,training
96.3,testing
81.3,training
89.2,validation
94.2,training
79.2,training
95.3,testing
95.6,training
96.9,validation
95.6,training
88.7,testing
81.1,validation
97.0,validation
97.8,training
71.6,testing
97.0,training
59.3,testing
89.0,validation
64.0,testing
87.7,training
79.0,testing
48.2,training
76.0,testing
60.6,training
77.7,validation
50.0,testing
90.6,validation
93.3,training
48.9,training
55.5,training
92.1,validation
81.0,testing
87.7,training
69.1,training
55.3,validation
93.9,testing
57.5,validation
97.0,training
16.8,training
0.0,training
97.8,testing
11.1,testing
86.4,testing
48.6,training
65.4,testing
90.6,training
65.9,training
84.2,training
88.9,testing
2.6,validation
76.4,validation
81.8,validation
86.2,validation
67.9,validation
62.9,training
96.7,testing
79.5,training
62.0,training
74.8,training
47.6,training
95.7,testing
85.6,testing
62.6,training
67.5,validation
64.3,training
79.1,validation
90.4,testing
80.8,testing
63.5,training
89.4,training
69.8,validation
89.2,validation
86.9,training
82.2,training
77.5,training
96.4,training
96.4,validation
97.9,training
76.8,training
92.3,validation
73.5,training
79.0,validation
70.8,training
78.3,training
64.9,training
68.1,training
88.1,training
62.0,training
68.4,testing
82.1,validation
63.1,training
78.1,testing
74.5,testing
76.3,testing
96.8,testing
3.0,training
78.3,training
79.3,testing
62.5,validation
61.0,training
57.5,training
46.3,validation
88.7,training
73.5,training
80.0,training
71.2,testing
62.5,training
67.5,training
63.8,training
72.1,training
82.6,training
52.4,training
23.5,validation
84.7,training
95.5,testing
88.7,testing
92.8,training
78.4,training
77.7,validation
89.2,training
72.4,training
94.4,training
86.6,training
72.1,training
67.3,validation
81.8,training
92.4,testing
74.0,training
90.2,testing
89.9,training
93.0,training
87.7,training
89.2,training
74.8,testing
53.1,training
75.2,testing
37.7,training
80.9,validation
95.1,training
0.0,testing
94.3,training
73.4,training
85.5,training
97.7,training
84.8,validation
2.8,validation
80.0,training
96.8,training
53.6,testing
95.0,training
64.0,testing
95.4,training
72.4,validation
0.0,training
95.7,training
96.8,validation
92.5,validation
87.0,testing
97.5,training
94.0,training
97.8,validation
95.5,testing
80.9,training
43.2,validation
89.6,training
97.5,testing
79.0,validation
45.2,training
92.5,training
63.6,validation
98.2,validation
98.7,training
25.0,training
93.6,testing
11.8,validation
81.2,validation
66.5,validation
92.0,training
66.3,testing
45.4,training
10.9,training
31.4,training
77.4,testing
85.0,training
89.2,training
81.1,training
90.0,training
86.6,training
80.7,training
64.1,training
91.1,training
84.4,testing
82.1,testing
95.0,training
68.5,training
64.3,testing
95.9,training
96.2,training
96.3,validation
93.2,training
84.4,training
48.0,training
50.1,testing
12.4,training
87.0,training
62.2,training
11.2,training
47.1,validation
96.3,testing
89.9,training
79.8,testing
97.9,training
97.8,training
96.3,training
83.9,testing
94.5,training
90.9,testing
74.4,training
71.7,training
96.1,training
74.3,training
56.3,training
92.3,training
94.9,testing
95.1,testing
94.7,testing
90.1,testing
61.1,testing
95.8,training
77.0,training
61.1,training
28.4,training
62.4,training
56.7,training
79.1,training
95.2,training
4.0,validation
8.0,training
2.6,training
44.2,validation
50.8,training
61.8,training
76.1,validation
88.0,testing
97.0,training
65.3,validation
83.4,training
82.2,validation
83.0,validation
80.5,training
28.9,training
90.5,validation
68.7,testing
37.3,training
49.3,testing
97.5,testing
88.0,validation
75.8,testing
30.7,training
56.9,training
25.9,training
93.1,training
96.9,testing
66.9,testing
44.7,training
86.4,validation
83.3,testing
76.9,training
60.8,testing
71.7,training
43.0,testing
67.7,training
16.3,training
63.8,validation
9.5,training
89.2,training
74.9,validation
16.2,training
77.7,training
75.5,training
90.2,training
70.1,testing
9.3,testing
87.7,training
21.2,training
94.3,training
96.6,validation
80.4,validation
96.6,training
88.5,validation
63.7,training
96.1,testing
70.6,validation
71.0,training
76.4,training
78.6,training
73.0,validation
2.6,training
70.6,training
43.1,testing
68.0,validation
79.4,training
75.1,testing
94.5,validation
76.7,training
94.6,testing
94.0,training
72.0,validation
73.4,training
56.5,training
95.1,training
69.4,testing
90.4,testing
74.6,training
71.3,validation
96.3,training
81.3,testing
89.2,testing
94.2,testing
79.2,validation
95.3,training
95.6,training
96.9,validation
95.6,validation
88.7,training
81.1,training
97.0,validation
97.8,validation
71.6,training
97.0,validation
59.3,testing
89.0,validation
64.0,training
87.7,training
79.0,validation
48.2,training
76.0,training
60.6,training
77.7,validation
50.0,validation
90.6,training
93.3,validation
48.9,validation
55.5,training
92.1,testing
81.0,training
87.7,training
69.1,training
55.3,training
93.9,training
57.5,training
97.0,validation
16.8,testing
0.0,training
97.8,training
11.1,training
86.4,testing
48.6,validation
65.4,training
90.6,training
65.9,testing
84.2,validation
88.9,training
2.6,validation
76.4,training
81.8,training
86.2,testing
67.9,testing
62.9,validation
96.7,training
79.5,training
62.0,testing
74.8,training
47.6,training
95.7,training
85.6,validation
62.6,validation
67.5,training
64.3,training
79.1,training
90.4,training
80.8,testing
63.5,training
89.4,training
69.8,validation
89.2,training
86.9,testing
82.2,validation
77.5,training
96.4,validation
96.4,training
97.9,training
76.8,testing
92.3,testing
73.5,validation
79.0,training
70.8,training
78.3,testing
64.9,training
68.1,training
88.1,training
62.0,training
68.4,training
82.1,training
63.1,training
78.1,validation
74.5,training
76.3,training
96.8,training
3.0,training
78.3,training
79.3,validation
62.5,validation
61.0,training
57.5,validation
46.3,validation
88.7,testing
73.5,training
80.0,validation
71.2,validation
62.5,training
67.5,training
63.8,training
72.1,training
82.6,training
52.4,testing
23.5,training
84.7,training
95.5,validation
88.7,training
92.8,training
78.4,validation
77.7,training
89.2,training
72.4,testing
94.4,training
86.6,testing
72.1,training
67.3,training
81.8,validation
92.4,training
74.0,validation
90.2,testing
89.9,training
93.0,validation
87.7,validation
89.2,training
74.8,training
53.1,training
75.2,training
37.7,training
80.9,training
95.1,testing
0.0,training
94.3,testing
73.4,training
85.5,validation
97.7,training
84.8,testing
2.8,training
80.0,testing
96.8,training
53.6,training
95.0,training
64.0,training
95.4,training
72.4,training
0.0,validation
95.7,training
96.8,training
92.5,validation
87.0,testing
97.5,validation
94.0,training
97.8,training
95.5,training
80.9,testing
43.2,training
89.6,validation
97.5,training
79.0,training
45.2,training
92.5,validation
63.6,validation
98.2,training
98.7,training
25.0,testing
93.6,training
11.8,training
81.2,testing
66.5,training
92.0,training
66.3,training
45.4,training
10.9,training
31.4,testing
77.4,testing
85.0,training
89.2,testing
81.1,testing
90.0,training
86.6,validation
80.7,validation
64.1,training
91.1,validation
84.4,testing
82.1,validation
95.0,training
68.5,testing
64.3,validation
95.9,training
96.2,training
96.3,validation
93.2,validation
84.4,validation
48.0,training
50.1,validation
12.4,training
87.0,testing
62.2,training
11.2,validation
47.1,training
96.3,training
89.9,validation
79.8,training
97.9,testing
97.8,training
96.3,testing
83.9,training
94.5,validation
90.9,training
74.4,training
71.7,training
96.1,validation
74.3,validation
56.3,training
92.3,validation
94.9,training
95.1,training
94.7,training
90.1,training
61.1,validation
95.8,testing
77.0,training
61.1,training
28.4,training
62.4,training
56.7,validation
79.1,training
95.2,training
4.0,training
8.0,testing
2.6,training
44.2,training
50.8,training
61.8,training
76.1,training
88.0,training
97.0,training
65.3,testing
83.4,validation
82.2,validation
83.0,testing
80.5,training
28.9,training
90.5,testing
68.7,training
37.3,training
49.3,validation
97.5,testing
88.0,training
75.8,validation
30.7,testing
56.9,validation
25.9,validation
93.1,validation
96.9,testing
66.9,training
44.7,validation
86.4,validation
83.3,training
76.9,validation
60.8,training
71.7,training
43.0,validation
67.7,validation
16.3,validation
63.8,testing
9.5,validation
89.2,validation
74.9,training
16.2,training
77.7,training
75.5,validation
90.2,training
70.1,training
9.3,validation
87.7,validation
21.2,training
94.3,training
96.6,testing
80.4,validation
96.6,training
88.5,training
63.7,training
96.1,training
70.6,training
71.0,testing
76.4,training
78.6,testing
73.0,validation
2.6,training
70.6,testing
43.1,training
68.0,training
79.4,testing
75.1,training
94.5,training
76.7,validation
94.6,training
94.0,training
72.0,testing
73.4,training
56.5,training
95.1,training
69.4,training
90.4,validation
74.6,training
71.3,training
96.3,validation
81.3,testing
89.2,training
94.2,validation
79.2,training
95.3,validation
95.6,training
96.9,training
95.6,testing
88.7,testing
81.1,validation
97.0,validation
97.8,training
71.6,testing
97.0,training
59.3,testing
89.0,training
64.0,training
87.7,training
79.0,training
48.2,validation
76.0,validation
60.6,testing
77.7,training
50.0,testing
90.6,training
93.3,training
48.9,training
55.5,training
92.1,training
81.0,training
87.7,validation
69.1,testing
55.3,validation
93.9,training
57.5,training
97.0,training
16.8,training
0.0,training
97.8,training
11.1,training
86.4,training
48.6,validation
65.4,training
90.6,training
65.9,validation
84.2,training
88.9,testing
2.6,training
76.4,testing
81.8,training
86.2,training
67.9,training
62.9,training
96.7,testing
79.5,testing
62.0,training
74.8,training
47.6,testing
95.7,training
85.6,training
62.6,training
67.5,testing
64.3,testing
79.1,training
90.4,testing
80.8,training
63.5,validation
89.4,testing
69.8,validation
89.2,testing
86.9,validation
82.2,training
77.5,training
96.4,testing
96.4,validation
97.9,testing
76.8,training
92.3,training
73.5,validation
79.0,training
70.8,training
78.3,testing
64.9,testing
68.1,training
88.1,testing
62.0,validation
68.4,testing
82.1,training
63.1,testing
78.1,training
74.5,training
76.3,validation
96.8,training
3.0,training
78.3,testing
79.3,training
62.5,training
61.0,training
57.5,testing
46.3,training
88.7,training
73.5,validation
80.0,validation
71.2,training
62.5,validation
67.5,validation
63.8,training
72.1,training
82.6,training
52.4,validation
23.5,testing
84.7,training
95.5,training
88.7,training
92.8,training
78.4,testing
77.7,training
89.2,training
72.4,training
94.4,training
86.6,training
72.1,training
67.3,training
81.8,training
92.4,validation
74.0,testing
90.2,training
89.9,training
93.0,validation
87.7,training
89.2,validation
74.8,training
53.1,training
75.2,training
37.7,training
80.9,training
95.1,training
0.0,validation
94.3,testing
73.4,training
85.5,testing
97.7,validation
84.8,validation
2.8,testing
80.0,training
96.8,training
53.6,training
95.0,testing
64.0,training
95.4,training
72.4,testing
0.0,validation
95.7,validation
96.8,training
92.5,training
87.0,training
97.5,testing
94.0,training
97.8,training
95.5,testing
80.9,training
43.2,validation
89.6,training
97.5,training
79.0,training
45.2,testing
92.5,testing
63.6,validation
98.2,validation
98.7,training
25.0,training
93.6,training
11.8,testing
81.2,testing
66.5,validation
92.0,training
66.3,training
45.4,training
10.9,testing
31.4,training
77.4,training
85.0,training
89.2,training
81.1,testing
90.0,testing
86.6,training
80.7,validation
64.1,training
91.1,training
84.4,testing
82.1,training
95.0,validation
68.5,validation
64.3,training
95.9,training
96.2,training
96.3,training
93.2,training
84.4,testing
48.0,testing
50.1,testing
12.4,testing
87.0,training
62.2,validation
11.2,training
47.1,training
96.3,testing
89.9,validation
79.8,training
97.9,training
97.8,training
96.3,testing
83.9,training
94.5,training
90.9,validation
74.4,validation
71.7,training
96.1,training
74.3,training
56.3,training
92.3,validation
94.9,validation
95.1,training
94.7,testing
90.1,training
61.1,training
95.8,validation
77.0,training
61.1,training
28.4,training
62.4,validation
56.7,validation
79.1,validation
95.2,training
4.0,testing
8.0,training
2.6,training
44.2,training
50.8,training
61.8,training
76.1,training
88.0,validation
97.0,validation
65.3,training
83.4,testing
82.2,validation
83.0,training
80.5,validation
28.9,training
90.5,testing
68.7,training
37.3,training
49.3,training
97.5,testing
88.0,training
75.8,training
30.7,validation
56.9,training
25.9,training
93.1,testing
96.9,training
66.9,validation
44.7,training
86.4,training
83.3,validation
76.9,testing
60.8,training
71.7,training
43.0,training
67.7,validation
16.3,testing
63.8,validation
9.5,validation
89.2,training
74.9,training
16.2,training
77.7,training
75.5,training
90.2,training
70.1,training
9.3,validation
87.7,validation
21.2,training
94.3,testing
96.6,training
80.4,validation
96.6,validation
88.5,validation
63.7,training
96.1,training
70.6,training
71.0,testing
76.4,training
78.6,validation
73.0,training
2.6,training
70.6,training
43.1,testing
68.0,testing
79.4,testing
75.1,testing
94.5,testing
76.7,training
94.6,testing
94.0,training
72.0,training
73.4,testing
56.5,training
95.1,validation
69.4,testing
90.4,validation
74.6,validation
71.3,testing
96.3,testing
81.3,training
89.2,training
94.2,testing
79.2,training
95.3,validation
95.6,testing
96.9,testing
95.6,training
88.7,testing
81.1,training
97.0,testing
97.8,training
71.6,training
97.0,validation
59.3,training
89.0,training
64.0,training
87.7,validation
79.0,validation
48.2,training
76.0,validation
60.6,validation
77.7,training
50.0,training
90.6,training
93.3,training
48.9,testing
55.5,testing
92.1,training
81.0,training
87.7,training
69.1,validation
55.3,testing
93.9,testing
57.5,testing
97.0,training
16.8,training
0.0,validation
97.8,testing
11.1,training
86.4,training
48.6,training
65.4,validation
90.6,training
65.9,testing
84.2,training
88.9,validation
2.6,training
76.4,training
81.8,testing
86.2,validation
67.9,training
62.9,training
96.7,training
79.5,training
62.0,training
74.8,training
47.6,training
95.7,training
85.6,training
62.6,testing
67.5,validation
64.3,training
79.1,testing
90.4,training
80.8,testing
63.5,training
89.4,training
69.8,training
89.2,testing
86.9,testing
82.2,validation
77.5,validation
96.4,testing
96.4,training
97.9,training
76.8,training
92.3,testing
73.5,training
79.0,testing
70.8,training
78.3,testing
64.9,training
68.1,training
88.1,training
62.0,training
68.4,validation
82.1,training
63.1,training
78.1,validation
74.5,training
76.3,validation
96.8,training
3.0,testing
78.3,training
79.3,training
62.5,validation
61.0,training
57.5,training
46.3,validation
88.7,testing
73.5,validation
80.0,training
71.2,validation
62.5,training
67.5,testing
63.8,training
72.1,validation
82.6,training
52.4,training
23.5,validation
84.7,training
95.5,training
88.7,training
92.8,training
78.4,validation
77.7,training
89.2,training
72.4,training
94.4,training
86.6,testing
72.1,validation
67.3,validation
81.8,validation
92.4,training
74.0,training
90.2,training
89.9,validation
93.0,validation
87.7,testing
89.2,training
74.8,training
53.1,training
75.2,training
37.7,training
80.9,validation
95.1,training
0.0,validation
94.3,training
73.4,training
85.5,validation
97.7,validation
84.8,validation
2.8,testing
80.0,training
96.8,training
53.6,training
95.0,testing
64.0,validation
95.4,training
72.4,training
0.0,training
95.7,training
96.8,training
92.5,training
87.0,testing
97.5,training
94.0,validation
97.8,training
95.5,validation
80.9,training
43.2,testing
89.6,validation
97.5,training
79.0,training
45.2,training
92.5,validation
63.6,training
98.2,training
98.7,training
25.0,training
93.6,training
11.8,training
81.2,testing
66.5,training
92.0,training
66.3,testing
45.4,training
10.9,validation
31.4,training
77.4,training
85.0,testing
89.2,validation
81.1,training
90.0,training
86.6,training
80.7,validation
64.1,training
91.1,training
84.4,testing
82.1,validation
95.0,validation
68.5,testing
64.3,training
95.9,testing
96.2,training
96.3,validation
93.2,training
84.4,training
48.0,validation
50.1,training
12.4,validation
87.0,training
62.2,testing
11.2,training
47.1,validation
96.3,training
89.9,validation
79.8,training
97.9,training
97.8,validation
96.3,training
83.9,training
94.5,validation
90.9,testing
74.4,validation
71.7,training
96.1,training
74.3,validation
56.3,training
92.3,training
94.9,training
95.1,testing
94.7,training
90.1,training
61.1,training
95.8,testing
77.0,training
61.1,testing
28.4,training
62.4,training
56.7,training
79.1,testing
95.2,training
4.0,training
8.0,training
2.6,training
44.2,training
50.8,training
61.8,training
76.1,training
88.0,training
97.0,validation
65.3,training
83.4,testing
82.2,training
83.0,training
80.5,validation
28.9,validation
90.5,training
68.7,training
37.3,training
49.3,testing
97.5,training
88.0,training
75.8,validation
30.7,validation
56.9,validation
25.9,testing
93.1,validation
96.9,testing
66.9,training
44.7,validation
86.4,validation
83.3,training
76.9,testing
60.8,training
71.7,training
43.0,training
67.7,training
16.3,testing
63.8,training
9.5,validation
89.2,training
74.9,training
16.2,training
77.7,training
75.5,testing
90.2,training
70.1,testing
9.3,training
87.7,testing
21.2,training
94.3,training
96.6,validation
80.4,training
96.6,testing
88.5,training
63.7,testing
96.1,validation
70.6,training
71.0,training
76.4,training
78.6,training
73.0,training
2.6,validation
70.6,training
43.1,training
68.0,validation
79.4,training
75.1,training
94.5,training
76.7,training
94.6,training
94.0,testing
72.0,training
73.4,training
56.5,validation
95.1,training
69.4,training
90.4,training
74.6,training
71.3,training
96.3,training
81.3,validation
89.2,training
94.2,training
79.2,validation
95.3,validation
95.6,training
96.9,training
95.6,training
88.7,training
81.1,training
97.0,training
97.8,testing
71.6,training
97.0,testing
59.3,validation
89.0,training
64.0,training
87.7,testing
79.0,validation
48.2,training
76.0,testing
60.6,testing
77.7,validation
50.0,training
90.6,training
93.3,testing
48.9,validation
55.5,testing
92.1,testing
81.0,validation
87.7,training
69.1,training
55.3,training
93.9,training
57.5,validation
97.0,testing
16.8,training
0.0,training
97.8,training
11.1,training
86.4,validation
48.6,testing
65.4,training
90.6,training
65.9,testing
84.2,training
88.9,training
2.6,validation
76.4,training
81.8,training
86.2,testing
67.9,training
62.9,testing
96.7,training
79.5,training
62.0,validation
74.8,testing
47.6,testing
95.7,training
85.6,training
62.6,training
67.5,testing
64.3,training
79.1,testing
90.4,training
80.8,training
63.5,testing
89.4,training
69.8,validation
89.2,training
86.9,training
82.2,training
77.5,training
96.4,training
96.4,training
97.9,training
76.8,validation
92.3,training
73.5,testing
79.0,testing
70.8,testing
78.3,validation
64.9,training
68.1,validation
88.1,training
62.0,training
68.4,training
82.1,training
63.1,training
78.1,training
74.5,training
76.3,validation
96.8,testing
3.0,validation
78.3,training
79.3,training
62.5,training
61.0,training
57.5,testing
46.3,validation
88.7,testing
73.5,training
80.0,training
71.2,training
62.5,validation
67.5,training
63.8,validation
72.1,training
82.6,training
52.4,training
23.5,testing
84.7,testing
95.5,training
88.7,training
92.8,training
78.4,testing
77.7,testing
89.2,testing
72.4,training
94.4,training
86.6,validation
72.1,testing
67.3,validation
81.8,testing
92.4,training
74.0,validation
90.2,training
89.9,training
93.0,training
87.7,training
89.2,testing
74.8,training
53.1,validation
75.2,training
37.7,training
80.9,training
95.1,testing
0.0,training
94.3,training
73.4,training
85.5,testing
97.7,training
84.8,testing
2.8,training
80.0,training
96.8,validation
53.6,testing
95.0,training
64.0,training
95.4,validation
72.4,validation
0.0,training
95.7,training
96.8,testing
92.5,testing
87.0,validation
97.5,training
94.0,training
97.8,training
95.5,testing
80.9,training
43.2,training
89.6,training
97.5,training
79.0,training
45.2,validation
92.5,training
63.6,testing
98.2,training
98.7,training
25.0,validation
93.6,validation
11.8,validation
81.2,training
66.5,training
92.0,testing
66.3,testing
45.4,validation
10.9,testing
31.4,training
77.4,validation
85.0,training
89.2,validation
81.1,validation
90.0,validation
86.6,training
80.7,training
64.1,training
91.1,training
84.4,testing
82.1,training
95.0,testing
68.5,training
64.3,training
95.9,training
96.2,training
96.3,validation
93.2,testing
84.4,training
48.0,training
50.1,training
12.4,validation
87.0,training
62.2,training
11.2,training
47.1,training
96.3,training
89.9,validation
79.8,testing
97.9,training
97.8,training
96.3,training
83.9,testing
94.5,testing
90.9,training
74.4,training
71.7,training
96.1,training
74.3,training
56.3,validation
92.3,training
94.9,training
95.1,training
94.7,training
90.1,training
61.1,validation
95.8,training
77.0,training
61.1,validation
28.4,training
62.4,testing
56.7,validation
79.1,training
95.2,validation
4.0,training
8.0,training
2.6,training
44.2,testing
50.8,testing
61.8,validation
76.1,validation
88.0,training
97.0,training
65.3,training
83.4,training
82.2,training
83.0,training
80.5,training
28.9,validation
90.5,validation
68.7,validation
37.3,training
49.3,training
97.5,training
88.0,training
75.8,validation
30.7,training
56.9,validation
25.9,training
93.1,training
96.9,training
66.9,training
44.7,testing
86.4,training
83.3,training
76.9,validation
60.8,testing
71.7,training
43.0,training
67.7,testing
16.3,testing
63.8,training
9.5,training
89.2,training
74.9,training
16.2,training
77.7,validation
75.5,testing
90.2,training
70.1,testing
9.3,validation
87.7,testing
21.2,training
94.3,training
96.6,training
80.4,validation
96.6,validation
88.5,training
63.7,training
96.1,training
70.6,testing
71.0,training
76.4,training
78.6,training
73.0,training
2.6,training
70.6,training
43.1,training
68.0,testing
79.4,validation
75.1,training
94.5,training
76.7,training
94.6,validation
94.0,training
72.0,training
73.4,training
56.5,training
95.1,testing
69.4,training
90.4,training
74.6,training
71.3,training
96.3,training
81.3,training
89.2,testing
94.2,validation
79.2,training
95.3,testing
95.6,training
96.9,training
95.6,training
88.7,validation
81.1,testing
97.0,validation
97.8,testing
71.6,training
97.0,training
59.3,training
89.0,training
64.0,training
87.7,testing
79.0,validation
48.2,testing
76.0,training
60.6,validation
77.7,training
50.0,training
90.6,training
93.3,training
48.9,training
55.5,validation
92.1,training
81.0,training
87.7,training
69.1,training
55.3,training
93.9,training
57.5,training
97.0,testing
16.8,testing
0.0,training
97.8,training
11.1,training
86.4,training
48.6,training
65.4,training
90.6,training
65.9,training
84.2,validation
88.9,training
2.6,validation
76.4,validation
81.8,training
86.2,training
67.9,training
62.9,training
96.7,testing
79.5,training
62.0,testing
74.8,testing
47.6,validation
95.7,training
85.6,validation
62.6,testing
67.5,training
64.3,training
79.1,training
90.4,testing
80.8,training
63.5,training
89.4,validation
69.8,testing
89.2,training
86.9,testing
82.2,validation
77.5,training
96.4,testing
96.4,testing
97.9,training
76.8,training
92.3,testing
73.5,validation
79.0,training
70.8,testing
78.3,training
64.9,training
68.1,training
88.1,testing
62.0,training
68.4,training
82.1,training
63.1,validation
78.1,training
74.5,training
76.3,training
96.8,testing
3.0,training
78.3,training
79.3,validation
62.5,validation
61.0,validation
57.5,training
46.3,training
88.7,training
73.5,training
80.0,training
71.2,validation
62.5,training
67.5,testing
63.8,testing
72.1,training
82.6,training
52.4,training
23.5,training
84.7,training
95.5,validation
88.7,testing
92.8,validation
78.4,training
77.7,training
89.2,testing
72.4,testing
94.4,validation
86.6,training
72.1,training
67.3,training
81.8,training
92.4,training
74.0,training
90.2,testing
89.9,training
93.0,validation
87.7,training
89.2,training
74.8,training
53.1,testing
75.2,training
37.7,training
80.9,testing
95.1,testing
0.0,training
94.3,training
73.4,training
85.5,validation
97.7,training
84.8,testing
2.8,training
80.0,training
96.8,training
53.6,training
95.0,training
64.0,training
95.4,validation
72.4,training
0.0,training
95.7,testing
96.8,training
92.5,validation
87.0,validation
97.5,training
94.0,training
97.8,training
95.5,testing
80.9,testing
43.2,validation
89.6,training
97.5,testing
79.0,training
45.2,testing
92.5,training
63.6,training
98.2,training
98.7,training
25.0,testing
93.6,training
11.8,training
81.2,validation
66.5,testing
92.0,testing
66.3,training
45.4,training
10.9,training
31.4,training
77.4,validation
85.0,testing
89.2,testing
81.1,validation
90.0,training
86.6,training
80.7,training
64.1,testing
91.1,training
84.4,training
82.1,training
95.0,training
68.5,validation
64.3,validation
95.9,training
96.2,training
96.3,training
93.2,training
84.4,training
48.0,training
50.1,training
12.4,training
87.0,training
62.2,training
11.2,training
47.1,training
96.3,training
89.9,testing
79.8,training
97.9,training
97.8,validation
96.3,testing
83.9,training
94.5,validation
90.9,testing
74.4,training
71.7,training
96.1,training
74.3,training
56.3,testing
92.3,training
94.9,training
95.1,validation
94.7,training
90.1,testing
61.1,testing
95.8,testing
77.0,testing
61.1,validation
28.4,training
62.4,validation
56.7,validation
79.1,testing
95.2,validation
4.0,training
8.0,testing
2.6,testing
44.2,training
50.8,training
61.8,validation
76.1,training
88.0,training
97.0,validation
65.3,training
83.4,training
82.2,training
83.0,training
80.5,training
28.9,testing
90.5,training
68.7,training
37.3,training
49.3,testing
97.5,testing
88.0,training
75.8,training
30.7,training
56.9,training
25.9,training
93.1,training
96.9,training
66.9,validation
44.7,testing
86.4,training
83.3,training
76.9,testing
60.8,testing
71.7,training
43.0,validation
67.7,training
16.3,training
63.8,training
9.5,testing
89.2,training
74.9,training
16.2,training
77.7,training
75.5,testing
90.2,training
70.1,validation
9.3,training
87.7,training
21.2,testing
94.3,validation
96.6,testing
80.4,training
96.6,training
88.5,training
63.7,testing
96.1,training
70.6,training
71.0,training
76.4,training
78.6,validation
73.0,training
2.6,testing
70.6,validation
43.1,testing
68.0,training
79.4,training
75.1,testing
94.5,validation
76.7,testing
94.6,validation
94.0,validation
72.0,validation
73.4,training
56.5,testing
95.1,training
69.4,validation
90.4,validation
74.6,training
71.3,testing
96.3,training
81.3,validation
89.2,validation
94.2,training
79.2,training
95.3,training
95.6,training
96.9,validation
95.6,testing
88.7,training
81.1,validation
97.0,training
97.8,validation
71.6,training
97.0,training
59.3,training
89.0,validation
64.0,validation
87.7,validation
79.0,validation
48.2,testing
76.0,training
60.6,training
77.7,training
50.0,validation
90.6,training
93.3,testing
48.9,training
55.5,training
92.1,training
81.0,training
87.7,training
69.1,training
55.3,training
93.9,testing
57.5,validation
97.0,training
16.8,training
0.0,testing
97.8,training
11.1,training
86.4,training
48.6,training
65.4,validation
90.6,validation
65.9,testing
84.2,testing
88.9,training
2.6,training
76.4,training
81.8,training
86.2,validation
67.9,training
62.9,validation
96.7,training
79.5,training
62.0,training
74.8,testing
47.6,validation
95.7,validation
85.6,training
62.6,training
67.5,training
64.3,training
79.1,training
90.4,training
80.8,training
63.5,training
89.4,testing
69.8,validation
89.2,training
86.9,testing
82.2,training
77.5,testing
96.4,validation
96.4,training
97.9,validation
76.8,testing
92.3,validation
73.5,training
79.0,training
70.8,validation
78.3,training
64.9,training
68.1,training
88.1,training
62.0,testing
68.4,training
82.1,training
63.1,training
78.1,training
74.5,training
76.3,validation
96.8,validation
3.0,training
78.3,training
79.3,training
62.5,testing
61.0,training
57.5,training
46.3,training
88.7,testing
73.5,training
80.0,testing
71.2,training
62.5,testing
67.5,training
63.8,training
72.1,testing
82.6,testing
52.4,training
23.5,training
84.7,testing
95.5,testing
88.7,testing
92.8,testing
78.4,training
77.7,validation
89.2,training
72.4,testing
94.4,training
86.6,training
72.1,training
67.3,training
81.8,training
92.4,training
74.0,validation
90.2,validation
89.9,validation
93.0,testing
87.7,training
89.2,testing
74.8,validation
53.1,validation
75.2,training
37.7,testing
80.9,training
95.1,training
0.0,training
94.3,training
73.4,training
85.5,testing
97.7,testing
84.8,testing
2.8,testing
80.0,training
96.8,testing
53.6,validation
95.0,training
64.0,testing
95.4,testing
72.4,validation
0.0,testing
95.7,testing
96.8,validation
92.5,validation
87.0,training
97.5,training
94.0,training
97.8,validation
95.5,training
80.9,training
43.2,training
89.6,training
97.5,training
79.0,training
45.2,validation
92.5,training
63.6,training
98.2,training
98.7,training
25.0,training
93.6,training
11.8,training
81.2,training
66.5,training
92.0,training
66.3,training
45.4,training
10.9,training
31.4,training
77.4,training
85.0,testing
89.2,testing
81.1,training
90.0,training
86.6,validation
80.7,testing
64.1,training
91.1,validation
84.4,testing
82.1,training
95.0,training
68.5,training
64.3,training
